tx_id,date,amount,currency,category,merchant,description
TX000905,2025-04-28,1760.78,RUB,entertainment,Кинопоиск,Покупка в Кинопоиск
TX000640,2025-04-29,3017.77,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000827,2025-04-29,911.95,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000454,2025-04-30,5442.37,RUB,health,Здоровье плюс,Покупка в Здоровье плюс
TX000466,2025-04-30,977.44,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000694,2025-04-30,229.58,RUB,transport,Метро,Покупка в Метро
TX000185,2025-05-01,1650.88,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000373,2025-05-01,444.83,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000503,2025-05-01,1643.79,RUB,transport,АЗС Лукойл,Покупка в АЗС Лукойл
TX000595,2025-05-01,1412.72,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000621,2025-05-01,1310.88,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000230,2025-05-02,1379.89,RUB,entertainment,Ресторан,Покупка в Ресторан
TX000079,2025-05-03,4201.98,RUB,food,Магнит,Покупка в Магнит
TX000520,2025-05-03,4741.46,RUB,utilities,Мобильный оператор,Покупка в Мобильный оператор
TX000701,2025-05-03,1187.77,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000731,2025-05-03,10047.78,RUB,shopping,Ozon,Покупка в Ozon
TX000754,2025-05-03,19836.81,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000886,2025-05-03,2690.36,RUB,transport,АЗС Лукойл,Покупка в АЗС Лукойл
TX000933,2025-05-03,4606.55,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000316,2025-05-04,666.96,RUB,entertainment,Wink,Покупка в Wink
TX000557,2025-05-04,11521.93,RUB,shopping,DNS,Покупка в DNS
TX000870,2025-05-04,3698.39,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000265,2025-05-05,9228.24,RUB,shopping,DNS,Покупка в DNS
TX000286,2025-05-05,24803.73,RUB,shopping,М.Видео,Покупка в М.Видео
TX000753,2025-05-05,3202.9,RUB,food,Магнит,Покупка в Магнит
TX000993,2025-05-05,18872.53,RUB,shopping,Lamoda,Покупка в Lamoda
TX000225,2025-05-06,2302.96,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000626,2025-05-06,363.43,RUB,entertainment,Okko,Покупка в Okko
TX000123,2025-05-07,2429.98,RUB,entertainment,Ресторан,Покупка в Ресторан
TX000425,2025-05-07,2430.19,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000527,2025-05-07,7484.28,RUB,health,Здоровье плюс,Покупка в Здоровье плюс
TX000900,2025-05-07,774.62,RUB,health,Медицина,Покупка в Медицина
TX000920,2025-05-08,1865.1,RUB,transport,АЗС Лукойл,Покупка в АЗС Лукойл
TX000636,2025-05-09,1763.72,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000089,2025-05-10,578.4,RUB,entertainment,Кинопоиск,Покупка в Кинопоиск
TX000353,2025-05-10,2408.47,RUB,food,Лента,Покупка в Лента
TX000438,2025-05-10,1335.74,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000200,2025-05-11,2160.88,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000643,2025-05-11,505.86,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000869,2025-05-11,11662.33,RUB,shopping,Ozon,Покупка в Ozon
TX000294,2025-05-12,1083.61,RUB,other,Снятие наличных,Покупка в Снятие наличных
TX000825,2025-05-12,634.02,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000881,2025-05-12,5312.47,RUB,health,Медицина,Покупка в Медицина
TX000991,2025-05-12,1060.33,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000476,2025-05-13,2524.29,RUB,other,Снятие наличных,Покупка в Снятие наличных
TX000924,2025-05-13,2588.88,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000909,2025-05-14,576.17,RUB,food,Магнит,Покупка в Магнит
TX000941,2025-05-14,1091.54,RUB,shopping,DNS,Покупка в DNS
TX000510,2025-05-15,1437.87,RUB,health,СМ-Клиника,Покупка в СМ-Клиника
TX000649,2025-05-15,1897.84,RUB,entertainment,Wink,Покупка в Wink
TX000953,2025-05-15,4132.92,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000270,2025-05-16,3180.28,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000342,2025-05-16,732.27,RUB,food,Магнит,Покупка в Магнит
TX000445,2025-05-16,3828.02,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000688,2025-05-16,2077.44,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000260,2025-05-17,5456.65,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000393,2025-05-17,12620.33,RUB,shopping,Wildberries,Покупка в Wildberries
TX000517,2025-05-17,3504.5,RUB,utilities,Мобильный оператор,Покупка в Мобильный оператор
TX000695,2025-05-17,3310.26,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000211,2025-05-18,1298.84,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000282,2025-05-19,3429.58,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000108,2025-05-20,2841.37,RUB,entertainment,Боулинг,Покупка в Боулинг
TX000324,2025-05-20,2896.08,RUB,food,Лента,Покупка в Лента
TX000143,2025-05-21,1227.69,RUB,transport,Яндекс.Такси,Покупка в Яндекс.Такси
TX000348,2025-05-21,2150.97,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000080,2025-05-22,1633.93,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000111,2025-05-22,15460.11,RUB,shopping,Lamoda,Покупка в Lamoda
TX000109,2025-05-23,535.87,RUB,food,Магнит,Покупка в Магнит
TX000558,2025-05-23,3102.2,RUB,entertainment,Wink,Покупка в Wink
TX000241,2025-05-24,11889.32,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000947,2025-05-24,121.31,RUB,transport,Яндекс.Такси,Покупка в Яндекс.Такси
TX000013,2025-05-25,2551.88,RUB,shopping,М.Видео,Покупка в М.Видео
TX000896,2025-05-25,1465.74,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000988,2025-05-25,29843.07,RUB,shopping,DNS,Покупка в DNS
TX000100,2025-05-26,746.48,RUB,transport,Uber,Покупка в Uber
TX000769,2025-05-26,328.76,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000378,2025-05-27,1351.34,RUB,entertainment,Wink,Покупка в Wink
TX000422,2025-05-27,1099.93,RUB,transport,Яндекс.Такси,Покупка в Яндекс.Такси
TX000851,2025-05-27,1091.33,RUB,other,Перевод,Покупка в Перевод
TX000124,2025-05-28,807.55,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000245,2025-05-28,2167.9,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000507,2025-05-28,1474.55,RUB,food,Магнит,Покупка в Магнит
TX000551,2025-05-29,837.35,RUB,shopping,DNS,Покупка в DNS
TX000214,2025-05-30,2458.4,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000951,2025-05-30,4770.5,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000750,2025-05-31,4565.15,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
